"Brand_Reg","Mean(Avg_mode_power)"
"Aiwa",63.39944680851063
"Akai",56.435736842105264
"Altius",19.502666666666666
"Aoa",43.578
"Ark",14
"Avel Innovations",29.236666666666668
"Bauhn",69.44442465753426
"Belgique",40.85666666666667
"Blaupunkt",92.88526238532106
"Brooklyn",33.5
"Caixun",33.31096774193549
"Chiq",96.33187234042555
"Coocaa",68.725
"Decamax",106.68
"Dgtec",91.03983333333333
"Digitech",24.979999999999997
"Dynalink",19.8
"Eko",93.89649255319148
"Emete",182.03399999999996
"Englaon",43.4625
"Ffalcon",57.44137931034483
"Fpd",31.68
"Furrion",27.035
"Gorilla",35.5
"Hisense",126.5784049079754
"Hubbl",64.71
"Hubbl Glass",57.72
"Hyundai",97.82090909090908
"Iluma",31.23
"Jvc",83.87376176470588
"Kodak",64.5928
"Kogan",110.29353940182047
"Konic",77.87457500000001
"Konka",74.70586470588235
"Lg",128.1839469808541
"Linsar",80.13261904761904
"Loewe",80.39259259259259
"Lsp Tv",16.1569
"Metz",104.36999999999999
"Monster",17.4625
"Myvi",26.256
"Palsonic",105.43
"Panasonic",95.39123255813954
"Philips",99.30076923076926
"Polaroid",59.28815384615385
"Prism+",109.5415
"Q.bell",59.05
"Qbell",85.3790909090909
"Rca",23.89
"S Vision",103.3
"Samsung",142.8679653679654
"Samsung Electronics",155.25307797537602
"Sharetv",28.1
"Sharp",101.03181818181818
"Shenzhen Xinchaoda Technology Co., Ltd",103.045
"Signify",98.268
"Skyworth",74.62062500000002
"Smarttech",53.178000000000004
"Smtv",91.2938
"Soniq",92.076
"Sony",151.05760869565216
"Spark Electronics",223.7775862068966
"Sphere",22.766923076923078
"Stan Cash",16.1569
"Svision",46.67116666666667
"Sylvox",75.01938530303028
"Tavice",130.03
"Tcl",144.99166666666667
"Teac",45.65615384615384
"Teco",51.077
"Telefunken",49.49999999999999
"Tenet",15.3
"Thomson",45.335
"Toshiba",107.82399999999998
"Vdt",20.64
"Veon",77.08283333333333
"Walton",33.92666666666666
"Wintal",19.4
"Yokohama",81.28999999999999
"Zen Tv",29.3275
